CanonicalFunction,MergedFunctions,Mechanism,Structure,paragraph_ids,num_paragraphs,num_phrases,Subsystems
acquire user instruction,acquire user instruction,generate flight control instruction | receive video clip | send instruction to aircraft,control terminal | imaging device on aircraft | video acquisition method,2926,1,1,avionics processing | autonomous flight control
acquire user selection,acquire user selection,,intelligent equipment | line inspection system | unmanned aerial vehicle,4189,1,1,camera | sensors
acquire vehicle entrance and exit positions,acquire vehicle entrance and exit positions,,standard flight path information,2193,1,1,autonomous flight control | sensors
acquire vehicle environment information,acquire vehicle environment information,estimate blind spot with 3D map | image processing of flying object image,ground station | mobile node group,3517,1,1,camera | sensors
acquire water area image,acquire water area image,cleaning object enters box body | control driving module | determine target position | determine water flow direction | move UAV to target position | water flow analysis,,5307,1,1,autonomous flight control | sensors
acquire work content,acquire work content,,machinery/equipment storage | work content storage | work storage unit,412,1,1,fuselage | landing system
acquired information by acquisition unit,acquired information by acquisition unit,map coal mining subsidence | method includes obtaining topographic,acquisition unit | communication unit | determination unit | landing place | place information,1392 | 1393,2,1,camera | telecommunication
acquires aircraft information,acquires aircraft information,,acquisition unit | communication unit | determination unit | landing place | place information,1393,1,1,avionics processing | autonomous flight control
acquires current images,acquires current images,build inverse octree structure | construct plane parameter space | fit cell nodes with Gaussian distribution | map depth map to PPS | use feature extraction algorithm,connecting frame below mounting plate | ice-breaking mechanism at L-shaped plates | ice-breaking mechanism at connecting frame | mounting plate at UAV bottom | water collecting mechanism position | water tank with electric heater,6242 | 6243,2,1,camera | sensors
acquires first orientation angle information,acquires first orientation angle information,,positional relationships between leg tips and center of gravity | probe shape information,621,1,1,sensors | landing system
